hsg_owner	hsg_adm	hsg_sigil	hsg_kurzbenennung	hsg_bibliothek	hsg_geloescht	hsg_id
A2080	HBZ60	82/721	AC: Palliativmedizin	Palliativmedizin, Bibliothek	NULL	3156
A2081	HBZ60	82/722	AC: Kinderintensivmed.	Neugeborenen- und Konservative Kinderintensivmedizin der RWTH Aachen	NULL	3157
A2082	HBZ60	82/723	AC: Intermediate Care	Interdisziplinäre Intermediate Care, RWTH Aachen	NULL	3158
A2083	HBZ60	82/780	AC: Oper. Intensivmed.	Operative Intensivmedizin Erwachsene (Operat. Intensivmed. Erw.), RWTH Aachen	NULL	3159
A2084	HBZ60	82/784	AC	Institut für Technologie und Entwicklung von Medizinprodukten der RWTH Aachen	2008-03-04 00	:00	:00	3160
A2085	HBZ60	82/785	AC: Gefäßchirurgie	Klinik für Gefäßchirurgie,  RWTH Aachen	NULL	3161
A2086	HBZ60	82/774	AC: Notaufnahme	Notaufnahme, Bibliothek der RWTH Aachen	NULL	3162
A2087	HBZ60	82/772	AC: Molekularbiologie	Institut für Kardiovaskuläre Molekularbiologie der RWTH Aachen	NULL	3163
A2088	HBZ60	82/773	AC: Gliedmaßenrekonstr.	Zentrum für Gliedmaßenrekonstruktion u. Gliedmaßenverlängerung der RWTH Aachen	NULL	3164
A2089	HBZ60	82/775	AC: Neuroanatomie	Institut für Neuroanatomie der RWTH Aachen	NULL	3165
A2090	HBZ60	82/776	AC	Fachübergreifende Klinik für Standard Care, RWTH Aachen	2013-04-26 00	:00	:00	3166
A2091	HBZ60	82/777	AC: Kinderherzchirurgie	Kinderherzchirurgie, Bibliothek der RWTH Aachen	NULL	3167
A2092	HBZ60	82/778	AC: BTH IBMT-ZMG	Lehr- und Forschungsgebiet Zell- und Molekularbiologie an Grenzflächen der RWTH Aachen	NULL	3168
A2093	HBZ60	82/779	AC: AIXTRA	AIXTRA - Aachener Interdisziplinäres Trainingszentrum für Medizinische Ausbildung	NULL	3169
A2094	HBZ60	82/715a	AC: Kinderpsych./Stolb.	Klinik für Kinder- und Jugendpsychiatrie und psychotherapie, Abt. Bethlehem-Krankenhaus	NULL	3170
A2095	HBZ60	82/786	AC: Molekulare Medizin	Institut für Molekulare Medizin, Bibliothek	NULL	3171
A2096	HBZ60	82/787	AC: Comput. Biomed. I	Institut für Computational Biomedicine I, Bibliothek	NULL	3172
A2097	HBZ60	82/788	AC: ECCA	Euregionales comprehensive Cancer Center Aachen, Bibliothek	NULL	3173
A2098	HBZ60	82/789	AC: Altersmedizin	Lehrstuhl für Altersmedizin der RWTH Aachen	NULL	3174
A2099	HBZ60	82/790	AC: Computat. Genomics	Institute for Computational Genomics, Bibliothek	NULL	3175
A3001	HBZ60	82/001	AC: Rechenzentrum	Rechen- und Kommunikationszentrum, Bibliothek	NULL	3176
A3002	HBZ60	82/002	AC: ZLW	Zentrum für Lern- und Wissensmanagement, Bibliothek	NULL	3177
