Urheberkennung	Name der Bibliothek	ISIL-Bibliothek
1779	Bremen Forschungsst. Osteuropa	DE-Bre12
1780	Wiesbaden Hess. Hauptstaatsarch.	DE-Wi1
1780	Wiesbaden Hess. Hauptstaatsarch.	DE-Wi1
1781	Muencheberg Senckenberg DEI	DE-B15
1781	Muencheberg Senckenberg DEI	DE-B15
1782	Frankfurt Staedel Museum	DE-F10
1782	Frankfurt Staedel Museum	DE-F10
1783	Bad Homburg Stadtarchiv	DE-Hog1
1783	Bad Homburg Stadtarchiv	DE-Hog1
1784	Mainz NHM Naturhistor. Museum	DE-Mz119
1784	Mainz NHM Naturhistor. Museum	DE-Mz119
1785	Mittweida HS (Level 3)	DE-Mit1
1786	Zwickau HS (Level 3)	DE-Zwi2
1787	Dresden LFA Sachsen (Level 3)	DE-D115
1787	Dresden LFA Sachsen SE3	DE-D115
1788	Dresden HFM (Level 3)	DE-D117
1789	Dresden SKD (Level 3)	DE-D13
1790	Freiburg MFO (Level 3)	DE-Frei3c
1791	Freiburg Caritas Bibl. (Level 3)	DE-Frei26
1792	Freiburg MPI CC (Level 3)	DE-Frei85
1793	Freiburg DVA (Level 3)	DE-Frei99
1794	Freiburg ABI (Level 3)	DE-Frei119
1795	Freiburg Augustiner-Museum (L3)	DE-Frei123
1796	Kehl HS (Level 3)	DE-Kh1
1797	Offenburg HS (Level 3)	DE-Ofb1
1798	Heidelberg PH (Level 3)	DE-He76
1799	Heidelberg MPIL (Level 3)	DE-B208
1800	Stuttgart LABW FE3	DE-1951
1801	Karlsruhe BVerfG (Level 3)	DE-Ka26
1802	Karlsruhe HfM (Level 3)	DE-Ka84
1803	Karlsruhe ZKM (Level 3)	DE-Ka88
1804	Karlsruhe Kunsthalle (Level 3)	DE-Ka23
1805	Leipzig Bach-Archiv (Level 3)	DE-L326
1806	Leipzig BVerwG (Level 3)	DE-B791
1807	Leipzig HTWK (Level 3)	DE-L189
1808	Leipzig HMT (Level 3)	DE-L152
1809	Mannheim MUHO (Level 3)	DE-Mh31
1810	Mannheim TECHNOSEUM (Lev. 3)	DE-Mh34
1811	Stuttgart LKZB (Level 3)	DE-Stg117
1812	Stuttgart Haus Birkach (Level 3)	DE-Stg257
1813	Stuttgart HDG (Level 3)	DE-Stg269
1814	Stuttgart MH (Level 3)	DE-Stg111
1815	Stuttgart Stadtarchiv (Level 3)	DE-Stg277
1816	Trossingen MH (Level 3)	DE-Trs1
1817	Stuttgart WABW (Level 3)	DE-Stg256
1818	Ludwigsburg DFI (Level 3)	DE-Lg3
1818	Ludwigsburg DFI SE3	DE-Lg3
1819	Rottenburg DioezesanB (Level 3)	DE-Rot2
1820	Sigmaringen STA (Level 3)	DE-Sig1
1821	Tuebingen JS (Level 3)	DE-21-24
1822	München Goethe-Zentr. (Level 3	DE-M504
1823	Hamburg MPI Priv. (Level 3)	DE-B212
1824	Kassel documenta Archiv (Lev. 3)	DE-Ks17
1825	Nuernberg GNM (Level 3)	DE-N1
1826	Speyer DHV (Level 3)	DE-Sp3
1827	Hannover Ev.Luth.Landesk.(Lev.3)	DE-Hv111
1828	Berlin GSTA (FE Level 3)	DE-B41
1828	Berlin GSTA (SE Level3)	DE-B41
1829	Berlin SIM (FE Level 3)	DE-B763
1829	Berlin SIM (SE Level 3)	DE-B763
1830	Berlin KB (FE Level 3)	DE-B11
1830	Berlin KB (SE Level 3)	DE-B11
1831	Darmstadt HLM (Level 1)	DE-Ds82
1831	Darmstadt HLM (Level 3)	DE-Ds82
1832	Tübingen Brechtbau-Bib (Lev. 3	DE-21-108
1833	Reutlingen HSB (Level 3)	DE-Rt2
1834	Mannheim MZES (Level 3)	DE-180-4-2
1835	Goerlitz OLB (Level 3)	DE-Gl2
1836	Dresden HAIT (Level 3)	DE-D264
1837	Esslingen Stadtarchiv (Level 3)	DE-Ess4
1838	Hamburg HS Musik (Level 3)	DE-18-258
1839	Hildesheim UB (Level 3)	DE-Hil2
1840	Erfurt TFM (Level 3)	DE-Ef32
1841	Stuttgart Lindenmuseum (Level 3)	DE-Stg5
1842	Zittau/Goerlitz HS (Level 3)	DE-Zi4
1843	Weimar TLDA FE3	DE-Wim7
1844	Aurich LandschaftsB (Level 3)	DE-Au3
1845	Berlin AdW B (Level 3)	DE-B4
1846	Berlin AdW GRA (Level 3)	DE-B4-556
1847	MPI Bildungsforsch. (Level 3)	DE-B1532
1848	Center for World Music (Level 3)	DE-Hil8
1849	Hamburger Kunsthalle (Level 3)	DE-H13
1850	Hamburg Ärztl. Verein (Lev. 3)	DE-H20
1851	Museum Arbeit Hamburg (L. 3)	DE-H353
1852	Mus. Hamburg. Geschichte (L. 3)	DE-H77
1853	Rostock Inst.Ostseefor. FE L. 3	DE-Wa1
1854	Dummerstorf Inst Nutztierbiol.	DE-R48
1855	Hamburg, Bibliothek Geowiss.	DE-H144
1856	Museum am Rothenbaum	DE-H16
1857	Kassel MHK	DE-Ks14
1858	Tuebingen IxTheo (FE Lev. 3)	DE-Tue135
1859	Mannheim IDS WGL	DE-Mh39
1860	Stuttgart Landesmuseum	DE-Stg266
1861	Loerrach Duale Hochschule BW	DE-Loer2
1862	Bremerhaven A.-Wegener-Inst.	DE-Bv2
1863	Hamburg Nordkirchenbibliothek	DE-H99
1864	Freiburg HS Musik Bibl.	DE-Frei50
1865	Saarbruecken Stift. Kulturbesitz	DE-Sa27
1866	Bochum HSG FE3	DE-1866
1867	Weimar Hauptstaatsarchiv	DE-Wim6
1868	Zuerich, GTA (FE 3)	CH-001803-8
1869	Nuertingen HKT-Bibl. FE3	DE-1869
1870	Frankfurt/M HFMDK (FE 1)	DE-F78
1870	Frankfurt/M HFMDK (SE1)	DE-F78
1870	Frankfurt/M HFMDK (FE 3)	DE-F78
1871	Hamm ZfW	DE-1871
1873	Fulda Priesterseminar (FE 1)	DE-Ful2
1874	Luebeck MusikHS	DE-Lue12
1875	FFM Frau und Musik Level 3	DE-Ks15
1876	FFM Stadtgeschichte Level 3	DE-F186
1877	FFM FDH/FGM Level 3	DE-F25
1878	FFM ARCHAEOL. MUS. Level 3	DE-F225
1879	FFM Kunsthandwerksmus. Level 3	DE-F146
1880	FFM DIF Level 3	DE-Wi17
1881	FFM DAM Level 3	DE-F219
1882	OF Klingspor-Mus. Level 3	DE-Of2
1883	FFM Hist. Mus. Level 3	DE-F207
1884	FFM Rat f. Formgebung Level 3	DE-Ds108
1885	NB, Alphabet. Katalog., Red.	CH-001821-6
1885	NB, Alphabet. Katalog.	CH-001821-6
1886	NB, Periodika, Redaktion	CH-001821-6
1886	NB, Periodika	CH-001821-6
1887	NB, e-Helvetica, Redaktion	CH-001821-6
1887	NB, e-Helvetica	CH-001821-6
1888	NB, Helvetica, ONS/SRU RU	CH-001821-6
1889	NB HelveticArchives Red FE1	CH-001821-6
1889	NB HelveticArchives Red FE3	CH-001821-6
1923	Normdaten	DE-101
1925	Kalliope-Verbund	DE-611
1926	Lippstadt ZfW	DE-1926
1971	FFM Weltkulturen Mus. SE3	DE-1971
1973	FFM STAEDELSCHULE Level 3	DE-1973
1973	FFM Staedelschule SE3	DE-1973
1975	FFM MUS. MOD. KUNST Level 3	DE-1975
1978	FFM MUS. KOMMUNIKATION Level 3	DE-1978
1979	FFM JUED. MUS. Level 3	DE-1979
1995	Weitere Bibliotheken 1	DE-600
1995	Weitere Bibliotheken 1	DE-600
1996	Weitere Bibliotheken 2	DE-600
1999	Berlin BGK	DE-109
2008	Bonn FIZ Bundeswehr	DE-1073
2100	HG Kreisarchiv (FE Level 1)	DE-1962
2101	MPI Aesthetik (FE Level 1)	DE-2177
2102	Thurgau Kantonsbibl SE1	CH-000086-2
2102	Thurgau Kantonsbibl FE3	CH-000086-2
2103	Eisenbibliothek Schlatt (SE 3)	CH-000728-7
2104	NB, e-codices (FE, Lev. 4)	CH-001667-5
2105	ExLibris	DE-632
2106	Berlin Bundesrat FE Level 3	DE-Bo151
2107	Graz Steiermaerk. LB SE3	AT-LBST
