almaMmsId	rpbId
990050481190206441	RPB929t971944
990057056560206441	RPB929t971980
990050040830206441	RPB929t971981
990050691560206441	RPB929t971985
990049979880206441	RPB929t971988
990056486210206441	RPB929t972082
990056012220206441	RPB929t972083
990056483920206441	RPB929t972085
990056483880206441	RPB929t972086
990056476480206441	RPB929t972087
990056423510206441	RPB929t972088
990050128610206441	RPB929t972101
990050453410206441	RPB929t972106
990056436990206441	RPB929t972159
990054196160206441	RPB929t972176
990056415980206441	RPB929t972196
990056404160206441	RPB929t972203
990056426150206441	RPB929t972204
990056476540206441	RPB929t972205
990056246550206441	RPB929t972207
990050048830206441	RPB929t972508
990050392520206441	RPB929t972518
990056509240206441	RPB929t972591
990056377770206441	RPB929t972653
990056525790206441	RPB929t972684
990056511730206441	RPB929t972685
990049892930206441	RPB929t972709
990050954600206441	RPB929t972737
990050823950206441	RPB929t972738
990048566930206441	RPB929t972757
990056266710206441	RPB929t972844
990051046540206441	RPB929t973135
990051046270206441	RPB929t973140
990055902170206441	RPB929t973226
990055628460206441	RPB929t973235
990056536640206441	RPB929t973236
990050609240206441	RPB929t973590
990050611650206441	RPB929t973605
990056992090206441	RPB929t973672
990056252320206441	RPB929t973720
990051706380206441	RPB929t980005
990054866190206441	RPB929t980090
990111655550206441	RPB929t980159
990050688260206441	RPB929t980242
990052589570206441	RPB929t980278
990049847540206441	RPB929t980279
990056511700206441	RPB929t980347
990056531640206441	RPB929t980348
990051161910206441	RPB929t980349
990178040750206441	RPB929t980352
990111993150206441	RPB929t980468
990135768360206441	RPB929t980627
990056569690206441	RPB929t980708
990056570440206441	RPB929t980709
990056570460206441	RPB929t980710
990056576700206441	RPB929t980711
990056570550206441	RPB929t980712
990056570510206441	RPB929t980713
990056570480206441	RPB929t980714
990051228610206441	RPB929t980743
990056361590206441	RPB929t980755
990056568570206441	RPB929t980762
990056572280206441	RPB929t980765
990049982840206441	RPB929t980771
990056555270206441	RPB929t980965
990052526460206441	RPB929t981108
990052548570206441	RPB929t981109
990052548580206441	RPB929t981110
990052548590206441	RPB929t981111
990052548630206441	RPB929t981112
