item	itemLabel,types,coordinates
http://www.wikidata.org/entity/Q20756344	Wolfsmaar,http://www.wikidata.org/entity/Q253019,Point(7.115105 50.961706)
http://www.wikidata.org/entity/Q1988468	Niedersetzen,http://www.wikidata.org/entity/Q253019,Point(8.03292 50.9238)
http://www.wikidata.org/entity/Q1959320	Müschmühle,http://www.wikidata.org/entity/Q253019,Point(7.30972 50.7836)
http://www.wikidata.org/entity/Q1333768	Elsen,http://www.wikidata.org/entity/Q253019,Point(6.56639 51.0911)
http://www.wikidata.org/entity/Q1535297	Ittenbach,http://www.wikidata.org/entity/Q253019,Point(7.265 50.6811)
http://www.wikidata.org/entity/Q1601677	Helberhausen,http://www.wikidata.org/entity/Q253019,Point(8.137336111 51.000502777)
http://www.wikidata.org/entity/Q2142825	Rellmecke,http://www.wikidata.org/entity/Q253019,Point(8.3697 51.1875)
http://www.wikidata.org/entity/Q2255282	Stockum,http://www.wikidata.org/entity/Q253019,Point(7.98587 51.2931)
http://www.wikidata.org/entity/Q42409368	Bredenscheid-Stüter,http://www.wikidata.org/entity/Q253019,
http://www.wikidata.org/entity/Q1625213	Holthausen,http://www.wikidata.org/entity/Q253019,Point(6.68333 51.6)
http://www.wikidata.org/entity/Q1801993	Neuenholte,http://www.wikidata.org/entity/Q253019,Point(7.33056 51.1264)
http://www.wikidata.org/entity/Q1492734	Hinterrübach,http://www.wikidata.org/entity/Q253019,Point(7.40083 51.0336)
http://www.wikidata.org/entity/Q1521099	Geyen,http://www.wikidata.org/entity/Q253019,Point(6.78655 50.9819)
http://www.wikidata.org/entity/Q994073	Brunsheide,http://www.wikidata.org/entity/Q253019,Point(7.36694 51.2247)
http://www.wikidata.org/entity/Q182208	Neuenkirchen,http://www.wikidata.org/entity/Q262166,Point(7.368888888 52.241111111)
http://www.wikidata.org/entity/Q1998045	Nordhemmern,http://www.wikidata.org/entity/Q253019,Point(8.80667 52.3367)
http://www.wikidata.org/entity/Q19687901	Freiske,http://www.wikidata.org/entity/Q253019,Point(7.82250023 51.61916733)
http://www.wikidata.org/entity/Q1508869	Oberbarmen-Schwarzbach,http://www.wikidata.org/entity/Q253019,Point(7.21278 51.2803)
http://www.wikidata.org/entity/Q1826560	Lingscheiderhof,http://www.wikidata.org/entity/Q253019,Point(6.780538888 50.525052777)
http://www.wikidata.org/entity/Q20182568	Haltern,http://www.wikidata.org/entity/Q253019,Point(7.26702976 52.12112045)
http://www.wikidata.org/entity/Q1348493	Erbschlö-Linde,http://www.wikidata.org/entity/Q253019,Point(7.23056 51.2392)
http://www.wikidata.org/entity/Q4105	Meerbusch,"http://www.wikidata.org/entity/Q54935786, http://www.wikidata.org/entity/Q42744322",Point(6.68993 51.2503)
http://www.wikidata.org/entity/Q1451890	Frauenthal,http://www.wikidata.org/entity/Q253019,Point(6.8053 50.807)
http://www.wikidata.org/entity/Q2530373	Vohren,http://www.wikidata.org/entity/Q253019,Point(8.05 51.9439)
http://www.wikidata.org/entity/Q1384350	Hamm,http://www.wikidata.org/entity/Q1852178,Point(6.74444 51.205)
http://www.wikidata.org/entity/Q1531266	Gleuel,http://www.wikidata.org/entity/Q253019,Point(6.83667 50.8889)
